id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
10694803,Bangkok Cocoon,54740586,Phuket Villa,,Huai Khwang,13.79391,100.58395,Entire home/apt,1467,14,14,2024-05-09,0.13,1,214,1,
10706913,Freeway Guest House,10950957,Pia,,Phaya Thai,13.78828,100.5537,Private room,815,1,101,2024-07-11,0.97,4,365,6,
10708042,Nice PrivateRoom near Skytrain/Subway/Mall,55332507,Manna,,Chatu Chak,13.81847,100.56592,Entire home/apt,1200,28,30,2024-09-06,0.31,2,305,5,
10708902,Dream Home,55338598,Yao,,Chatu Chak,13.80776,100.58329,Entire home/apt,4500,2,27,2024-02-09,0.26,2,364,1,
10708996,Resort Home,55338598,Yao,,Chatu Chak,13.807882680981416,100.58694171905518,Entire home/apt,3000,2,12,2023-01-01,0.11,2,364,0,
10709131,"34Fl 2, M Ladprao Condo,MRT & Malls",32398198,Touchapon,,Chatu Chak,13.81699,100.56292,Entire home/apt,760,700,60,2019-08-20,0.57,2,364,0,
10712227,Luxurious Private Near BTS & MRT,7454779,Lily Duangdao,,Vadhana,13.74076,100.55956,Entire home/apt,1360,6,55,2024-09-04,0.54,16,108,20,
10713446,"Private condominium,Family-freindly",31435492,Nt,,Vadhana,13.72872,100.57371,Private room,,1,0,,,1,0,0,
10734193,Two-stories Thai Style Mansion,24340152,Suwanna,,Vadhana,13.72607,100.60417,Entire home/apt,,1,0,,,1,365,0,
10740411,"2br1b in ThePark, 4 min BTS Sri Iam, Bangna Wi-Fi",8986384,Nadda,,Bang Na,13.668712615966797,100.6500244140625,Entire home/apt,1500,2,12,2024-02-21,0.16,3,340,2,
10740502,Condo หรูใจกลางเมืองติดBTSสะพานควาย,55523948,Tassanee,,Phaya Thai,13.78985,100.55172,Private room,,30,0,,,1,0,0,
10780464,Downtown Sukhumvit near ThongLor,33441839,Luk,,Vadhana,13.7305,100.57616,Entire home/apt,1286,30,63,2024-05-31,0.61,1,177,4,
10792666,chic and cosy by greenplace guest,55837670,Tawee,,Bang Kapi,13.78442,100.63519,Private room,489,1,1,2016-03-10,0.01,4,90,0,
10795653,chic and cosy by greenplace guest 2,55837670,Tawee,,Bang Kapi,13.78441,100.63556,Private room,587,1,0,,,4,365,0,
10810120,Greenplace guest 2,55837670,Tawee,,Bang Kapi,13.78483,100.63532,Private room,,1,2,2019-01-20,0.03,4,365,0,
10810134,Greenplace guest,55837670,Tawee,,Bang Kapi,13.78314,100.63376,Private room,490,1,0,,,4,365,0,
10812219,302 HotDeal!New Relaxing  ~ BTS Ari,52130340,Pim,,Phaya Thai,13.77551,100.54438,Entire home/apt,1150,1,103,2024-08-26,0.99,10,139,7,
10825247,Comfy accom. 1 (BTS Saphan Khwai),26736483,K,,Phaya Thai,13.79021,100.54793,Entire home/apt,869,1,220,2024-06-03,2.10,96,364,15,
10842493,Heritage Shophouse in Chinatown Bkk (room no.3/1),28447831,Dr. Piyamas,,Samphanthawong,13.73663,100.51472,Hotel room,,1,3,2023-01-06,0.04,11,328,0,
10864783,Chapter one Kaset คอนโด ติด ม.เกษตร,4502284,Hwang,,Chatu Chak,13.84016,100.57355,Entire home/apt,,365,0,,,2,0,0,
10891357,Comfy accom. 2 (BTS Saphan Khwai),26736483,K,,Phaya Thai,13.78862,100.5501,Entire home/apt,869,1,269,2024-04-29,2.56,96,364,5,
10911055,YOO YEN PEN SOOK hostel,56566984,Yoo Yen Pen Sook,,Phaya Thai,13.79551,100.55095,Shared room,400,1,40,2024-08-30,0.39,1,364,11,
10914042,Comfy accom. 3 (BTS Saphan khwai),26736483,K,,Phaya Thai,13.7889,100.54794,Entire home/apt,869,1,17,2024-03-11,0.16,96,364,2,
10914744,Cozy room#3 (Chatuchak market &BTS saphan khwai),50445940,R,,Phaya Thai,13.7883,100.54838,Entire home/apt,868,1,16,2018-12-26,0.15,13,364,0,
10932979,Comfy accom. 4 (BTS Saphan khwai),26736483,K,,Phaya Thai,13.78854,100.5502,Entire home/apt,869,1,100,2023-09-25,0.95,96,362,0,
10934346,Stylish Room near Khaosarn Road + Free Breakfast,8444643,Kiattisak,,Phra Nakhon,13.75861,100.49488,Private room,1600,1,6,2024-02-12,0.06,59,365,1,
10934702,Stylish Room near Khaosarn Road + Free Breakfast,8444643,Kiattisak,,Phra Nakhon,13.75779,100.49628,Private room,1500,1,35,2019-02-03,0.33,59,365,0,
10935422,Kedkanok apartment,26575230,K.,,Sai Mai,13.890563124223846,100.61355187417084,Private room,450,1,2,2019-06-14,0.03,12,364,0,
10949033,"Stay Monomer, the ideal location (6 Mixed Dorm) 01",56782854,Off,,Ratchathewi,13.75289,100.53121,Shared room,450,1,82,2024-06-19,0.80,24,177,5,
10958141,Cozy studio for living in BKK,50285972,Fuse,,Phra Khanong,13.69158,100.61383,Entire home/apt,717,150,2,2016-03-08,0.02,1,358,0,
10960478,Stunning view Rama9 longterm40%,56851514,Tai,,Huai Khwang,13.75496,100.57542,Private room,1369,6,2,2016-08-27,0.02,2,87,0,
10973926,Amanta Lumpini,56936569,Thiptaya,,Sathon,13.72229,100.55062,Private room,,1,0,,,1,0,0,
10975245,Perfect Location next Nana skytrain,1664026,Robert,,Vadhana,13.74009,100.55741,Entire home/apt,2007,35,9,2016-06-06,0.09,1,0,0,
11008291,"Stunning view 2 BR APT-WIFI,cooking,near metro!!",15214203,Bee,,Sathon,13.71961,100.5486,Entire home/apt,2864,1,60,2024-06-22,0.57,34,128,3,
11034218,"Living Nest Ramkhamhaeng,Bangkok",57260094,Pakpoom,,Bang Kapi,13.7625,100.63923,Private room,,365,0,,,1,0,0,
11044061,Happy Living while holiday in BK,57244270,Boo,,Vadhana,13.74635,100.56135,Entire home/apt,,5,3,2017-12-22,0.03,1,0,0,
11058808,The Escape Condo Sukhumvit 101/1,41598889,Anucha,,Phra Khanong,13.68864,100.63586,Entire home/apt,,4,23,2023-09-10,0.22,6,364,0,
11060488,Deluxe room,57405776,Chanoknun,,Lak Si,13.87463,100.58036,Private room,,1,0,,,1,0,0,
11079142,คอนโดIDEO MOBI Wongsawang Interchag,57514756,อนุศักดิ์,,Bang Sue,13.81869,100.53173,Private room,,1,0,,,1,0,0,
11105435,First room in our tropical villa,43924136,Bo-Ther & Paa Maa,,Sathon,13.72331,100.5454,Entire home/apt,1063,1,141,2020-03-18,1.35,5,361,0,
11107208,Center of business/ shopping area,57697935,Yong,,Suanluang,13.71189,100.60416,Private room,,1,0,,,1,0,0,
11112776,"Cozy, Comfortable, Near Sky Train",57729592,Chonlada,,Khlong San,13.71958,100.49402,Entire home/apt,,7,0,,,1,0,0,
11116720,3 BR River View Condo in Bangkok’s Iconic Building,57752365,Nathita,,Bang Rak,13.7214231,100.5168806,Entire home/apt,,3,20,2024-05-07,1.84,2,0,20,
11127488,Private room in the garden,57823883,K,,Bang Khun thain,13.67218,100.43971,Private room,,1,0,,,1,0,0,
11149707,My Condo Pinkloa,57970807,Prajitporn,,Phra Nakhon,13.75737,100.50058,Entire home/apt,1200,2,0,,,1,178,0,
11151590,"位於曼谷市區,交通便利,有地鐵超商,生活便利",20500566,Amy,,Din Daeng,13.78942,100.57301,Entire home/apt,,30,0,,,1,0,0,
11160126,Convenient 1BR near BTS in Sathorn,56561719,Oom,,Sathon,13.71883,100.53148,Entire home/apt,1950,3,45,2024-08-03,0.43,6,349,5,
11170133,1BR in CBD  100m to BTS ChongNonsri,56561719,Oom,,Sathon,13.71945,100.53109,Entire home/apt,1950,3,101,2024-06-27,0.97,6,346,7,
11170606,Adagio Bangkok Hotel Premium Room,13882126,Adagio Bangkok,,Khlong Toei,13.7057,100.59831,Private room,2150,1,1,2017-12-11,0.01,5,365,0,
11170722,***เช่า ทองหล่อทาว์เวอร์ ทองหล่อ18,52155080,Worakit,,Vadhana,13.73605,100.58459,Entire home/apt,,355,0,,,1,0,0,
11170814,คอนโด2หัองนอน  กลางทองหล่อ,41374574,Ken,,Ratchathewi,13.7565,100.53404,Entire home/apt,3500,365,0,,,1,365,0,
11171136,Adagio Bangkok Hotel (2 Bed Room With Bath tub),13882126,Adagio Bangkok,,Khlong Toei,13.70523,100.5996,Private room,3200,1,0,,,5,365,0,
11230144,Cozy 5 min walk to BTS OnNut near Supermarket,43652003,Peack,,Phra Khanong,13.702309258879373,100.59896534531104,Entire home/apt,792,26,31,2024-09-21,0.30,3,206,7,
11231202,"Kirin Riverside Homestay with AC, WiFi in Bangkok",41865000,Toonlachart,,Rat Burana,13.681511272242693,100.50492856123813,Entire home/apt,1064,1,2,2024-09-01,1.40,1,337,2,
11236028,Comfy accom. 5 (BTS Saphan khwai),26736483,K,,Phaya Thai,13.78988,100.54946,Entire home/apt,869,1,32,2024-01-27,0.31,96,364,1,
11236627,Comfy accom. 6 (BTS Saphan khwai),26736483,K,,Phaya Thai,13.78989,100.55014,Entire home/apt,869,1,6,2022-06-25,0.06,96,364,0,
11237155,Comfy accom. 7 (BTS Saphan khwai),26736483,K,,Phaya Thai,13.78984,100.55002,Entire home/apt,869,1,141,2024-07-23,1.35,96,364,1,
11237610,Silom 3 apartment no. 5 (BTS Saladaeng station),26736483,K,,Bang Rak,13.72593,100.53209,Hotel room,1280,1,27,2024-06-22,0.26,96,184,2,
11237984,Cozy soi Silom 3 condo. #4(BTS Saladaeng&MRT),26736483,K,,Bang Rak,13.7266,100.5315,Entire home/apt,1606,3,189,2024-07-13,1.81,96,332,10,
11238709,Cozy soi Silom 3 condo. #3(BTS Saladaeng&MRT),26736483,K,,Bang Rak,13.72553,100.53152,Entire home/apt,1606,3,115,2024-09-02,1.10,96,302,10,
11248101,Avenue iris ⊙Suvarnabhumi airport,26158068,Sawaminee,,Lat Krabang,13.72303,100.71863,Private room,,30,0,,,1,0,0,
